"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"346",45,4199248.70021004
"347",45,4199248.70014693
"348",45,4199248.70019772
"349",45,4199248.70025225
"350",45,4199248.68009589
"351",45,4199248.68012172
"352",45,4199248.68012134
"353",45,4199248.68015669
"354",45,4199248.68017644
"355",45,4199248.68019057
"356",45,4199248.68023293
"357",45,4199248.68022358
"358",45,4199248.68028773
"359",45,4199248.68056791
"360",45,4199248.68062742
"361",45,4199248.68056767
"362",45,4199248.68060283
"363",45,4199248.68064113
"364",45,4199248.68067856
"365",45,4199248.68189084
"366",45,4199248.68194879
"367",45,4199248.6820095
"368",45,4199248.68205805
"369",45,4199248.68206537
"370",45,4199248.68211296
"371",45,4199248.68253375
"372",45,4199248.68251895
"373",45,4199248.68258247
"374",45,4199248.68257267
"375",45,4199248.68264013
"376",45,4199248.68262635
"377",45,4199248.68267708
"378",45,4199248.6827004
"379",45,4199248.69856438
"380",45,4199248.69863532
"381",45,4199248.6986636
"382",45,4199248.69872049
"383",45,4199248.69893831
"384",45,4199248.6990734
"385",45,4199248.69899511
"386",45,4199248.6803437
"387",45,4199248.6803827
"388",45,4199248.68041982
"389",45,4199248.68033232
"390",45,4199248.68045615
"391",45,4199248.68038293
"392",45,4199248.68070234
"393",45,4199248.68079204
"394",45,4199248.680742
"395",45,4199248.68082924
"396",45,4199248.6807711
"397",45,4199248.68080484
"398",45,4199248.68083701
"399",45,4199248.68086811
"400",45,4199248.68090236
"401",45,4199248.68200663
"402",45,4199248.68203884
"403",45,4199248.68206593
"404",45,4199248.68209489
"405",45,4199248.68211462
"406",45,4199248.68214437
"407",45,4199248.68217313
"408",45,4199248.68219915
"409",45,4199248.68210724
"410",45,4199248.68222861
"411",45,4199248.68216497
"412",45,4199248.68226022
"413",45,4199248.68222556
"414",45,4199248.68229085
"415",45,4199248.68285087
"416",45,4199248.68291324
"417",45,4199248.6829653
"418",45,4199248.68303612
"419",45,4199248.72464956
"420",45,4199248.72468565
"421",45,4199248.72477633
"422",45,4199248.72488684
"423",45,4199248.72503048
"424",45,4199248.72492352
"425",45,4199248.72496248
"426",45,4199248.72506552
"427",45,4199248.72510097
"428",45,4199248.72499482
"429",45,4199248.7251338
"430",45,4199248.68286353
"431",45,4199248.68296056
"432",45,4199248.6830134
"433",45,4199248.68305751
"434",45,4199248.68344627
